seed	sampling_seed	samples	passing_samples	pass_rate	exact_binomial_p_value_vs_threshold	significance_required	overall_pass
1	1	128	115	0.8984	1.99827e-05	True	True
2	2	128	119	0.9297	1.26085e-07	True	True
3	3	128	123	0.9609	1.25653e-10	True	True
4	4	128	120	0.9375	2.74721e-08	True	True
5	5	128	118	0.9219	5.17251e-07	True	True
6	6	128	117	0.9141	1.91596e-06	True	True
7	7	128	111	0.8672	0.000856461	True	True
8	8	128	121	0.9453	5.28411e-09	True	True
9	9	128	117	0.9141	1.91596e-06	True	True
10	10	128	118	0.9219	5.17251e-07	True	True
11	11	128	119	0.9297	1.26085e-07	True	True
12	12	128	110	0.8594	0.00185315	True	True
13	13	128	106	0.8281	0.0229723	True	False
14	14	128	115	0.8984	1.99827e-05	True	True
15	15	128	113	0.8828	0.000150792	True	True
16	16	128	116	0.9062	6.46178e-06	True	True
17	17	128	111	0.8672	0.000856461	True	True
18	18	128	120	0.9375	2.74721e-08	True	True
19	19	128	113	0.8828	0.000150792	True	True
20	20	128	118	0.9219	5.17251e-07	True	True
21	21	128	116	0.9062	6.46178e-06	True	True
22	22	128	119	0.9297	1.26085e-07	True	True
23	23	128	115	0.8984	1.99827e-05	True	True
24	24	128	119	0.9297	1.26085e-07	True	True
25	25	128	115	0.8984	1.99827e-05	True	True
26	26	128	109	0.8516	0.00377659	True	True
27	27	128	116	0.9062	6.46178e-06	True	True
28	28	128	113	0.8828	0.000150792	True	True
29	29	128	116	0.9062	6.46178e-06	True	True
30	30	128	117	0.9141	1.91596e-06	True	True
31	31	128	120	0.9375	2.74721e-08	True	True
32	32	128	114	0.8906	5.70042e-05	True	True
33	33	128	114	0.8906	5.70042e-05	True	True
34	34	128	112	0.8750	0.000371584	True	True
35	35	128	117	0.9141	1.91596e-06	True	True
36	36	128	115	0.8984	1.99827e-05	True	True
37	37	128	109	0.8516	0.00377659	True	True
38	38	128	117	0.9141	1.91596e-06	True	True
39	39	128	108	0.8438	0.00727084	True	True
40	40	128	114	0.8906	5.70042e-05	True	True
41	41	128	117	0.9141	1.91596e-06	True	True
42	42	128	112	0.8750	0.000371584	True	True
43	43	128	116	0.9062	6.46178e-06	True	True
44	44	128	121	0.9453	5.28411e-09	True	True
45	45	128	121	0.9453	5.28411e-09	True	True
46	46	128	113	0.8828	0.000150792	True	True
47	47	128	118	0.9219	5.17251e-07	True	True
48	48	128	122	0.9531	8.83188e-10	True	True
49	49	128	119	0.9297	1.26085e-07	True	True
50	50	128	118	0.9219	5.17251e-07	True	True
